id,rotulo,long,lat,area_irrig,MAY/2016,JUNE/2016,JULY/2016,AUGUST/2016,MAY/2017,JUNE/2017,JULY/2017,AUGUST/2017,MAY/2018,JUNE/2018,JULY/2018,AUGUST/2018,MAY/2019,JUNE/2019,JULY/2019,AUGUST/2019,MAY/2020,JUNE/2020,JULY/2020,AUGUST/2020,MAY/2021,JUNE/2021,JULY/2021,AUGUST/2021
141,DUERE - 005,-49.482742,-11.172523,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
127,DUERE - 007,-49.627686,-11.126554,4107.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,10,31,-1,-1,-1,-1
128,DUERE - 008,-49.627705,-11.126545,4107.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,10,31,-1,-1,-1,-1
13,FORMOSO - 038,-49.834297,-10.748621,1100.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,12,10,2,0,1,10,2,0,1,0,18
145,JAVAES - 009,-50.005243,-11.465644,3500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
160,JAVAES - 018,-49.961916,-10.786407,1500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,4,0
30,URUBU - 003,-49.588757,-10.860949,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,8,10,2,0,4,1,0,31,31,31,1
159,JAVAES - 017,-49.961851,-10.786452,1500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,4,0
83,XAVANTE - 001,-49.63257,-11.383505,2600.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,20,31,31,14,0
11,URUBU - 014,-49.666954,-10.873199,704.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,-1,-1,-1,-1,31,31,21,0,18,1,1,0
58,URUBU - 035,-49.792397,-10.832636,500.0,-1,-1,-1,-1,-1,-1,-1,-1,22,1,0,0,0,4,12,30,31,31,11,0,0,1,0,0
151,JAVAES - 020,-49.935555,-10.561402,2200.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0
137,DUERE - 001,-49.379745,-11.207761,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,9,4,31,1,0
134,FORMOSO - 059,-49.677673,-11.399501,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,9,0
105,FORMOSO - 010,-49.762886,-11.792506,6706.0,-1,-1,-1,-1,-1,-1,-1,-1,8,1,0,0,0,1,0,2,10,1,0,0,0,1,0,0
103,FORMOSO - 011,-49.759785,-11.774934,6706.0,-1,-1,-1,-1,-1,-1,-1,-1,8,1,0,0,1,2,0,2,19,1,0,0,4,1,0,0
14,FORMOSO - 037,-49.83418,-10.748816,1100.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,11,10,2,0,1,10,1,0,1,0,18
102,FORMOSO - 009,-49.764847,-11.798149,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,-1,-1,-1,-1,22,1,0,0,0,1,0,0
22,FORMOSO - 026,-49.84482,-10.873628,8741.62,-1,-1,-1,-1,31,31,31,31,-1,-1,-1,-1,31,31,31,31,0,23,21,2,0,1,0,0
82,XAVANTE - 002,-49.632683,-11.383647,2600.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,20,31,31,14,0
95,FORMOSO - 002,-49.70171,-11.981676,4000.0,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31,-1,-1,-1,-1,20,1,10,16,0,1,0,0
78,URUBU - 005,-49.598557,-10.867343,400.0,-1,-1,-1,-1,31,31,31,31,22,1,0,0,0,4,8,2,0,1,6,1,18,1,0,7
61,URUBU - 031,-49.746464,-10.808526,3200.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,1,0,2,0,1,24,31,17,1,0,0
157,JAVAES - 025,-49.934169,-10.545562,2500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
195,URUBU - 040,-49.676115,-10.863916,350.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,1,0,0
47,FORMOSO - 045,-49.900787,-10.638937,1490.0,-1,-1,-1,-1,-1,-1,-1,-1,0,16,31,31,-1,-1,-1,-1,31,12,0,0,0,2,0,0
131,FORMOSO - 056,-49.836365,-10.972405,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,21,0,25,24,8,21
69,URUBU - 023,-49.716698,-10.824729,250.0,-1,-1,-1,-1,31,31,31,31,22,1,0,0,0,1,0,2,31,31,1,0,0,1,0,0
46,FORMOSO - 035,-49.81685,-10.78036,2010.0,-1,-1,-1,-1,-1,-1,-1,-1,31,22,0,0,0,1,0,2,0,13,4,2,1,1,0,0
161,JAVAES - 011,-49.967168,-10.937511,842.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
79,URUBU - 012,-49.666805,-10.872936,450.0,-1,-1,-1,-1,31,31,31,31,0,9,0,0,0,1,0,2,31,17,0,0,0,1,0,14
29,URUBU - 004,-49.588825,-10.860864,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,8,10,2,0,4,1,0,31,31,31,1
2,URUBU - 019,-49.695503,-10.844513,305.0,-1,-1,-1,-1,31,31,31,31,31,31,31,31,30,31,29,31,31,31,2,0,6,1,0,0
76,FORMOSO - 043,-49.89831,-10.641189,400.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,10,0,1,0,0
91,FORMOSO - 001,-49.701683,-11.981745,4000.0,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31,-1,-1,-1,-1,20,1,10,16,0,1,0,0
144,JAVAES - 008,-50.010125,-11.510041,3500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31,0,1,0,0
133,FORMOSO - 058,-49.677666,-11.39949,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,9,0
150,JAVAES - 019,-49.935562,-10.561476,2200.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0
96,FORMOSO - 003,-49.751915,-11.865111,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,7,0,1,0,2,4,3,0,0,0,1,0,2
23,FORMOSO - 025,-49.844826,-10.873858,8741.62,-1,-1,-1,-1,31,31,31,31,30,31,31,31,31,31,31,31,0,23,21,2,0,1,0,0
158,JAVAES - 001,-49.909348,-11.97475,30.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
100,FORMOSO - 007,-49.771408,-11.839915,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,2,19,1,0,4,0,1,0,0
154,JAVAES - 022,-49.934099,-10.545816,2500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
136,URUBU - 038,-49.42611,-10.78303,400.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,9,31,31,28,0
139,DUERE - 003,-49.389214,-11.190641,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,9,31,31,16,0
140,DUERE - 004,-49.4945,-11.181917,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,8,0,8,19,6
40,URUBU - 042,-49.515946,-10.841826,900.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,21,31,31,29,3
164,JAVAES - 014,-49.961646,-10.872719,461.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,0,0
10,URUBU - 008,-49.61889,-10.839177,192.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,31,31,31,31,31,31,31,4,0,1,0,0
104,FORMOSO - 012,-49.75973,-11.77486,6706.0,-1,-1,-1,-1,-1,-1,-1,-1,8,1,0,0,1,2,0,2,19,1,0,0,4,1,0,0
123,DUERE - 006,-49.76241,-10.898542,900.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,31,31,21,2,31,31,31,12,31,31,31,31
21,FORMOSO - 027,-49.84483,-10.873446,8741.62,-1,-1,-1,-1,31,31,31,31,31,31,31,31,31,31,31,31,0,23,21,2,0,1,0,0
38,URUBU - 009,-49.638924,-10.863574,1180.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,22,1,21,31,31,31,6,18,1,0,0
98,FORMOSO - 005,-49.75197,-11.864999,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,7,0,1,0,2,4,3,0,0,0,1,0,2
106,FORMOSO - 013,-49.698166,-11.695272,6706.0,-1,-1,-1,-1,-1,-1,-1,-1,8,1,0,0,0,1,0,2,19,1,0,0,0,1,0,0
101,FORMOSO - 008,-49.771397,-11.839824,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,2,19,1,0,4,0,1,0,0
62,URUBU - 032,-49.74645,-10.808519,3200.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,1,0,2,0,1,26,31,17,1,0,0
86,FORMOSO - 015,-49.678905,-11.382303,2600.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,28,0,1,0,1
55,URUBU - 015,-49.67606,-10.863947,350.0,-1,-1,-1,-1,-1,-1,-1,-1,23,1,0,0,0,4,10,21,31,31,31,6,22,1,0,0
119,URUBU - 017,-49.693214,-10.855825,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,1,10,31,31,31,21,0,0,1,0,0
113,FORMOSO - 029,-49.793938,-10.808507,3200.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,2,0,1,7,0,0,1,0,0
270,FORMOSO - 060,-49.833277,-10.927606,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,14,0
71,FORMOSO - 041,-49.85801,-10.690804,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,9,31,24,24,25
156,JAVAES - 024,-49.934143,-10.545639,2500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
57,URUBU - 037,-49.753574,-10.826344,450.0,-1,-1,-1,-1,-1,-1,-1,-1,22,1,0,0,-1,-1,-1,-1,0,1,8,0,0,1,0,0
167,FORMOSO - 036,-49.816977,-10.780303,2010.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0
336,URUBU - 001,-49.553783,-10.83458,900.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,1
129,FORMOSO - 054,-49.836338,-10.972468,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,21,0,25,24,8,21
64,URUBU - 007,-49.609585,-10.853259,544.88,-1,-1,-1,-1,-1,-1,-1,-1,0,21,18,0,0,1,0,2,0,1,21,8,16,1,0,3
108,FORMOSO - 042,-49.873663,-10.658592,2500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,8,31,31,31,15
44,FORMOSO - 034,-49.814186,-10.783109,2010.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,31,10,0,2,0,7,0,0,0,1,0,0
138,DUERE - 002,-49.37975,-11.198841,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,9,0,1,0,0
3,URUBU - 018,-49.692554,-10.848582,305.0,-1,-1,-1,-1,31,31,5,0,25,6,4,0,31,31,12,2,0,12,2,1,7,1,0,0
9,FORMOSO - 018,-49.833206,-10.927251,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,30,0,0,23,1,0,0
162,JAVAES - 012,-49.967379,-10.937303,584.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
18,FORMOSO - 044,-49.900036,-10.639715,930.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,21,0,8,1,0,0
92,URUBU - 011,-49.666634,-10.872875,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,22,0,0,31,30,31,31,31,31,31,15,0,1,0,14
135,FORMOSO - 052,-49.873821,-10.6586,2500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,8,31,31,31,26
97,FORMOSO - 004,-49.75195,-11.865047,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,7,0,1,0,2,4,3,0,0,0,1,0,2
19,FORMOSO - 024,-49.84455,-10.876612,441.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,21,4,31,1,1,0,0
50,FORMOSO - 048,-49.901333,-10.638089,1490.0,-1,-1,-1,-1,-1,-1,-1,-1,0,16,31,31,-1,-1,-1,-1,31,12,0,0,0,2,0,0
166,JAVAES - 016,-49.961717,-10.872645,461.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,0,0
99,FORMOSO - 006,-49.75198,-11.864939,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,6,0,1,0,2,4,3,0,0,0,1,0,2
36,FORMOSO - 022,-49.83846,-10.90773,766.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,4,30,1,0,0
73,FORMOSO - 039,-49.857967,-10.69131,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,9,31,24,31,29
112,FORMOSO - 030,-49.79448,-10.80843,3200.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,2,0,1,7,0,0,1,0,0
111,URUBU - 026,-49.730644,-10.820335,169.0,-1,-1,-1,-1,-1,-1,-1,-1,22,1,0,0,0,1,16,31,31,31,31,2,25,1,0,0
116,URUBU - 033,-49.74763,-10.825519,450.0,-1,-1,-1,-1,-1,-1,-1,-1,31,22,0,0,-1,-1,-1,-1,-1,-1,-1,-1,16,1,0,0
43,FORMOSO - 033,-49.814087,-10.783394,2010.0,-1,-1,-1,-1,-1,-1,-1,-1,31,13,0,0,31,10,0,2,0,7,0,0,0,1,0,0
110,URUBU - 025,-49.72786,-10.819728,240.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,1,29,1,0,0
85,FORMOSO - 016,-49.678993,-11.382191,2600.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,1,0,1
120,URUBU - 022,-49.71649,-10.829914,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,31,31,9,22,31,31,21,0,0,6,11,0
163,URUBU - 039,-49.730613,-10.820501,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0
143,JAVAES - 007,-50.010106,-11.510071,3500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31,0,1,0,0
77,FORMOSO - 028,-49.794594,-10.815099,500.0,-1,-1,-1,-1,31,31,31,31,29,31,8,3,31,15,13,25,31,31,31,4,31,31,31,4
124,URUBU - 030,-49.746475,-10.808552,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,6,0,1,0,2,0,1,17,10,0,7,10,0
121,URUBU - 020,-49.69921,-10.844733,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,31,8,0,0,25,11,2,31,31,21,0,0,1,0,0
132,FORMOSO - 057,-49.8365,-10.900539,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,20,0,20,13,12,22
39,URUBU - 010,-49.638912,-10.863696,1180.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,1,0,2,31,30,1,0,16,1,0,0
72,FORMOSO - 040,-49.857983,-10.691052,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,12,31,24,24,25
126,FORMOSO - 053,-49.795918,-10.806474,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,31,19,0,31,28,0,2,31,31,31,3,0,1,0,0
130,FORMOSO - 055,-49.836353,-10.972441,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,21,0,25,24,8,23
269,URUBU - 041,-49.4633,-10.8149,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,12,0
32,FORMOSO - 032,-49.799927,-10.804127,320.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,5,8,2,31,31,9,8,24,1,0,0
152,JAVAES - 021,-49.935497,-10.561288,2200.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0
7,FORMOSO - 020,-49.833023,-10.926166,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,15,0,23,1,3,0
155,JAVAES - 023,-49.934125,-10.545726,2500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
165,JAVAES - 015,-49.961701,-10.872683,461.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,0,0
142,JAVAES - 006,-50.00954818725586,-11.553027153015137,957.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31,0,1,0,0
65,URUBU - 006,-49.609436,-10.853473,544.88,-1,-1,-1,-1,-1,-1,-1,-1,0,21,18,0,0,9,10,2,0,1,21,8,16,1,0,0
51,FORMOSO - 049,-49.922836,-10.604112,1000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,12,0,0,0,1,0,0
42,FORMOSO - 050,-49.926888,-10.586694,800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,14,0,0,12,1,0,0
122,URUBU - 002,-49.587646,-10.870381,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,31,16,0,0,1,8,20,31,31,21,6,16,1,4,4
20,FORMOSO - 023,-49.844463,-10.877019,441.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,21,4,31,1,1,0,0
147,JAVAES - 010,-50.005271,-11.46559,3500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
59,URUBU - 036,-49.792538,-10.83259,500.0,-1,-1,-1,-1,-1,-1,-1,-1,31,22,0,0,0,4,12,30,31,31,11,0,0,1,0,0
6,FORMOSO - 021,-49.832962,-10.925689,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,15,0,23,1,3,0
8,FORMOSO - 019,-49.833103,-10.926642,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,30,0,0,23,1,0,0
31,FORMOSO - 031,-49.799633,-10.804135,320.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,5,8,2,31,31,9,9,24,1,0,0
107,FORMOSO - 014,-49.6496,-11.678309,570.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,2,21,1,4,0,0,1,0,0
56,URUBU - 034,-49.753597,-10.826273,450.0,-1,-1,-1,-1,-1,-1,-1,-1,22,1,0,0,-1,-1,-1,-1,0,1,8,0,0,1,0,0
593,JAVAES - 002,-49.916539,-11.747884,600.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31
118,URUBU - 016,-49.688923,-10.860516,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,1,0,2,4,4,7,0,0,1,0,0
41,FORMOSO - 051,-49.92698,-10.586587,800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,14,0,0,0,1,0,0
48,FORMOSO - 046,-49.900925,-10.638722,1490.0,-1,-1,-1,-1,-1,-1,-1,-1,0,16,31,31,-1,-1,-1,-1,31,12,0,0,0,2,0,0
49,FORMOSO - 047,-49.901154,-10.638469,1490.0,-1,-1,-1,-1,-1,-1,-1,-1,0,16,31,31,-1,-1,-1,-1,31,12,0,0,0,2,0,0
153,JAVAES - 026,-49.945433,-10.393448,700.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
70,URUBU - 021,-49.710102,-10.834447,345.0,-1,-1,-1,-1,31,31,31,31,0,16,18,0,0,17,31,31,31,31,1,0,25,1,0,0
